Nom;Adresse;Téléphone;Délégation;Latitude;Longitude;Horaires;Google Maps URL;Avis
Parapharmacie Bouzazi Amira;GQ3F+CFW, Jendouba;93 020 130;Jendouba Sud;36.5036424;8.7734537;Lun-Sam 8h-20h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJkZC4M7cT-xIRhC1mKxKSwMI;5,0/5 
Parapharmacie Alaoui;45 Rue Farhat Hached, Jendouba;26 657 792;Jendouba Sud;36.5020734;8.7797666;Lun-Ven 8h-18h, Sam 8h-17h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJXaZmzaAT-xIRbhNXQD4yO4A;
Para Med Medfai Eya;cite aziz a coté du café medfai;52870365;Jendouba Sud;36.5048927;8.7587684;Lun-Sam 9h-21h30, Dim 14h-20h;https://www.google.com/maps/place/?q=place_id:ChIJnxD7ewAT-xIRsVd-QrF0APg;
Parapharmacie Médical Services;Rue Hedi Chaker, Jendouba;54576636;Jendouba Sud;36.4981878;8.7774123;Lun-Sam 8h-21h30;https://www.google.com/maps/place/?q=place_id:ChIJU76JokwT-xIRtqlG1XskhoU;
Pharma Nadiya;18 Rue Imem Ben Arfa, Jendouba 8100;54 867 858;Jendouba Sud;36.5009602;8.7838257;Lun-Sam 8h-21h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJkbkv1FIS-xIRxml-4jZv-Bs;4,8/5 
Para El Balsem;Souk lakrad, Jendouba;51 012 123;Jendouba Sud;36.5029177;8.7807226;Lun-Sam 8h-21h, Dim 8h-13;https://maps.app.goo.gl/4vvcxo8LMGpQsrwr5;
L'olivier Pharma;à côté de Magasin de jouets ElSA & ANNA TOYS;55 554 622;Jendouba Sud;36.4974416; 8.7769027;Lun-Sam 8h-21h, Dim fermé;https://maps.app.goo.gl/68oHLTmxDf1yRpqn9;5,0/5
Parapharmacie BSN PHARMA;cité les jardins,route tuis;21 473 663;Jendouba Sud;36.5061630; 8.7912420;Lun-Sam 8h-21h;https://maps.app.goo.gl/sjXbjeEeKM6PqL5x7;
Vanity Beauty Store;04 Avenue Omar El Khayam, Jendouba 8100;28 972 970;Jendouba Sud;36.5011206;8.7860554;Lun-Dim 8h30-23h;https://www.google.com/maps/place/?q=place_id:ChIJK-2zSgAT-xIRzhLgDdnnTLg;5,0/5 
Parapharmacie Bio Beauté Bousalem;Rue 20 Mars, Bou Salem;21419103;Bou Salem;36.61032;8.9732267;Lun-Dim 8h-19h30 (variable);https://www.google.com/maps/place/?q=place_id:ChIJX6Hgzolp-xIR1aqwhiE1bjA;
