Nom;Adresse;Téléphone;Délégation;Type (jour/nuit);Produits vétérinaires;Latitude;Longitude;Catégorie;Horaires;Google Maps URL;Avis
Pharmacie Ayadi Amira;CITE EL MOUROUJ - AVENUE DE L'ENVIRONNEMENT IMADAT TATTAOUER;78 612 636;Jendouba Sud;Jour;;36.4921012;8.786779;Pharmacie;Lun-Ven 8h-19h30 (variable), Sam 13h-19h30, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJlfHXMlcS-xIRdQdgMAnL7xM;5,0/5
Pharmacie Bankaji Mohamed Amine;46 Avenue de Tunis;78 602 222;Jendouba Sud;Jour;;36.5034316;8.7849042;Pharmacie;Lun-Ven 8h30-19h30, Sam 8h30-13h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJYTpv8awT-xIR-YDkB8g2oZo;2,8/5
Pharmacie Sami Al-Jerbi;59 Avenue  Hedi Chaker ;78603680;Jendouba Sud;Jour;Oui;36.4989209;8.7780976;Pharmacie;Lun-Sam 8h-19h, Dim 8h-20h;https://www.google.com/maps/place/?q=place_id:ChIJ9QrnVUwS-xIRcX8bOilD3X8;5,0/5
Pharmacie Bouani Bouthaina;Avenue 9 Avril, Jendouba 8100;78 603 675;Jendouba Sud;Jour;Oui;36.494582;8.776097;Pharmacie;Lun-Ven 8h30-19h30, Sam 8h30-13h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJUdKKPmcT-xIRHmzTYKzTV8w;4,8/5
Médica Jendouba;Jendouba (FQXQ+3XP);99 806 522;Jendouba Sud;Jour;Oui;36.497706;8.7899673;Grossiste;Lun-Ven 8h-13h et 15h-18h, Sam 8h-13h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJS5ser1US-xIRkwP7ovDNFdk;4,3/5
Pharmacie  Zorgui Imen ;Rte de tuis;78 614 800;Jendouba Sud;Jour;;36.507812;8.7939383;Pharmacie;Lun-Ven 8h-13h et 15h-18h, Sam 8h-13h;https://maps.app.goo.gl/4hPNh7HKye7eFMm98;5,0/0
Pharmacie médicaments spécifiques CNSS;Ezghadiya, Jendouba;;Jendouba Sud;Jour;;36.5025847;8.779358;Pharmacie;Mar et Ven 10h-12h uniquement;https://www.google.com/maps/place/?q=place_id:ChIJ1wAVDwAT-xIRgxOzOu0dR_A;5,0/5
Pharmacie Ridha Saidi;5Rue de Tunis ;78 602 926;Jendouba Sud;Jour;;;;;;;
Pharmacie Gastli Ghassen;10PLace de la Republique;78 601 079;Jendouba Sud;Jour;;36.5008977;8.7783591;Pharmacie;Lun-Sam 8h-18h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJKbwU2EwS-xIRKkAEiWlXmjM;4,6/5
Pharmacie Bengagi Othman;Avenue Habib Bourguiba;78 605 893;Jendouba Sud;Jour;Oui;36.5034392;8.7877859;Pharmacie;Lun 8h-13h et 16h-20h, Mar-Ven 9h-17h, Sam 9h-13h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJ4Yw_a2kT-xIRJYH5a8fWXJM;5,0/5
Pharmacie  Manai Marwen;39, Av HABIB THAMEUR;78 603 380;Jendouba Sud;Jour;;36.5010467;8.7796908;Pharmacie;Lun -Ven8h-17h,  Sam 8h-13h;https://maps.app.goo.gl/2tqJDiHFDa2ALmfy8;5,0/5
Pharmacie  MONDHER BOUGASSAS;39,Rue Tahar Haddad;78 612 508;Jendouba Sud;Jour;;36.5012359;8.7846667;Pharmacie;Lun-Ven 8h30-13h et 15h-19h30, Sam 8h-13h, Dim fermé;https://www.google.com/maps/place/?q=place_id:ChIJ-2pbzawT-xIR9rjHeAYYtO4;3,8/5
Pharmacie Lahmar Mhamed;Rue Sakiet Sidi Youssef ;78 601 180;Jendouba Sud;Jour;Oui;36.4974943;8.7767069;Pharmacie;Lun-Ven 8h30-19h30, Sam 8h30-13h;https://www.google.com/maps/place/?q=place_id:ChIJS2p4HesT-xIRKafBq1Lv3r0;4,0/5
Pharmacie Selmi Afifa;3, Rue d'Alger;78 603 836;Jendouba Sud;Jour;Oui;36.4984292;8.7745839;Pharmacie;Lun-Ven 8h-19h, Sam 8h-13h;https://maps.app.goo.gl/Po2X1aEqBNxbkRMt9;
Pharmacie de Nuit ;Rue Habib Thameur, Jendouba;24 876 270;Jendouba Sud;Nuit;Oui;36.5010109;8.7796716;Pharmacie de garde;Lun_Dim 19h30-8h30;https://www.google.com/maps/place/?q=place_id:ChIJQwq3N00S-xIRng5YSitOVOw;5,0/5
Pharmacie Drissi;Avenue Habib Bourguiba ;;Jendouba Sud;Jour ;;36.4998393; 8.7810266;Pharmacie ;Lun_Dim 7:30h-23h;https://maps.app.goo.gl/H7rVnc7SyG3yqUit5;5,0/5
Pharmacie  Ghazouani Ihsen;CITE 2 JENDOUBA BULLA REGIA;78 629 377;Jendouba Sud;Jour;;36.556967;8.754119;Pharmacie ;Lun-Ven 8h30-19h30, Sam 8h30-13h;https://www.google.com/maps?q=36.556967,8.754119;
